Subject,Chapter,Subtopic,Final_Prob
Physics,electronic-devices,semiconductor-and-p-n-junction-diode,0.9979
Physics,wave-optics,huygens-principle-and-interference-of-light,0.9968
Physics,atoms-and-nuclei,bohrs-model-and-hydrogen-spectrum,0.9965
Physics,electromagnetic-waves,displacement-current-and-properties-of-em-waves,0.9963
Physics,dual-nature-of-radiation,photoelectric-effect,0.996
Physics,atoms-and-nuclei,nucleus-and-radioactivity,0.9947
Physics,geometrical-optics,refraction-tir-and-prism,0.9945
Physics,electronic-devices,digital-circuits,0.9938
Physics,alternating-current,ac-circuits-and-power-in-ac-circuits,0.9937
Physics,electrostatics,electric-field-and-electric-field-intensity,0.9935
Physics,work-power-and-energy,energy,0.9933
Physics,units-and-measurements,dimensions-of-physical-quantities,0.9933
Physics,rotational-motion,moment-of-inertia,0.9932
Physics,properties-of-matter,fluid-flow-bernoullis-principle-and-viscosity,0.9927
Physics,heat-and-thermodynamics,thermodynamics-process,0.9924
Physics,properties-of-matter,surface-tension-excess-pressure-and-capillarity,0.9915
Physics,geometrical-optics,lenses,0.9914
Physics,dual-nature-of-radiation,matter-waves-davisson-and-germer-experiment,0.991
Physics,communication-systems,modulation-and-demodulation,0.9904
Physics,properties-of-matter,mechanical-properties-of-solids,0.9899
Physics,heat-and-thermodynamics,kinetic-theory-of-gases-and-gas-laws,0.9893
Physics,electrostatics,electric-potential-energy-and-electric-potential,0.989
Physics,gravitation,escape-speed-and-motion-of-satellites,0.9882
Physics,magnetics,motion-of-charged-particle-inside-magnetic-field,0.9873
Physics,atoms-and-nuclei,nuclear-fission-and-fusion-and-binding-energy,0.9873
Physics,gravitation,keplers-law-and-universal-law-of-gravitation,0.9873
Physics,magnetics,biot-savarts-law-and-magnetic-field-due-to-current-carrying-wire,0.9872
Physics,properties-of-matter,pressure-density-pascals-law-and-archimedes-principle,0.9867
Physics,current-electricity,electric-power-and-heating-effect-of-current,0.9856
Physics,heat-and-thermodynamics,degree-of-freedom-and-law-of-equipartition-of-energy,0.9854
Chemistry,aldehydes-ketones-and-carboxylic-acids,chemical-reactions-for-aldehydes-and-ketones,0.9945
Chemistry,d-and-f-block-elements,properties-of-transition-elements,0.9941
Chemistry,structure-of-atom,photoelectric-effect,0.9917
Chemistry,chemical-bonding-and-molecular-structure,hybridization-and-vsepr-theory,0.9915
Chemistry,basics-of-organic-chemistry,isomerism,0.991
Chemistry,coordination-compounds,warners-theory-and-valence-bond-theory,0.9906
Chemistry,alcohols-phenols-and-ethers,properties-preparation-and-uses-of-alcohols,0.9889
Chemistry,biomolecules,carbohydrates,0.9888
Chemistry,some-basic-concepts-of-chemistry,concentration-terms,0.9885
Chemistry,coordination-compounds,crystal-field-theory-cft,0.9877
Chemistry,haloalkanes-and-haloarenes,haloarenes,0.9871
Chemistry,aldehydes-ketones-and-carboxylic-acids,preparation-properties-and-uses-of-carboxylic-acids,0.9871
Chemistry,solutions,abnormal-colligative-property-and-vant-hoff-factor,0.9867
Chemistry,electrochemistry,conductance-and-electrolysis,0.9863
Chemistry,solutions,relative-lowering-of-vapour-pressure-and-roults-law,0.9857
Chemistry,p-block-elements,group-15-elements-nitrogen-family,0.9854
Chemistry,compounds-containing-nitrogen,aliphatic-amines,0.985
Chemistry,chemical-kinetics-and-nuclear-chemistry,integrated-rate-law-equations,0.9847
Chemistry,some-basic-concepts-of-chemistry,mole-concept,0.9844
Chemistry,chemistry-in-everyday-life,chemicals-in-medicines,0.9844
Chemistry,haloalkanes-and-haloarenes,haloalkanes,0.984
Chemistry,basics-of-organic-chemistry,purification-of-organic-compounds,0.9832
Chemistry,surface-chemistry,colloids,0.9831
Chemistry,chemical-equilibrium,chemical-equilibrium-law-of-mass-action-and-equilibrium-constant,0.9825
Chemistry,thermodynamics,entropy-free-energy-change-and-spontaneity,0.9823
Chemistry,basics-of-organic-chemistry,iupac-nomenclature,0.9821
Chemistry,electrochemistry,electrochemical-series-cell-and-their-emf,0.9807
Chemistry,ionic-equilibrium,ph-buffer-and-indicators,0.98
Chemistry,polymers,classification-preparations-and-properties-of-polymers,0.9786
Chemistry,chemical-bonding-and-molecular-structure,molecular-orbital-theory,0.9782
Mathematics,definite-integration,properties-of-definite-integration,0.9988
Mathematics,matrices-and-determinants,solutions-of-system-of-linear-equations-in-two-or-three-variables-using-determinants-and-matrices,0.9919
Mathematics,3d-geometry,lines-and-plane,0.9917
Mathematics,statistics,calculation-of-standard-deviation-variance-and-mean-deviation-of-grouped-and-ungrouped-data,0.9914
Mathematics,area-under-the-curves,area-bounded-between-the-curves,0.9912
Mathematics,3d-geometry,lines-in-space,0.9894
Mathematics,mathematical-reasoning,logical-connectives,0.9876
Mathematics,differential-equations,linear-differential-equations,0.9872
Mathematics,sequences-and-series,summation-of-series,0.9849
Mathematics,parabola,question-based-on-basic-definition-and-parametric-representation,0.9844
Mathematics,limits-continuity-and-differentiability,differentiability,0.9829
Mathematics,height-and-distance,height-and-distance,0.9821
Mathematics,application-of-derivatives,maxima-and-minima,0.9821
Mathematics,binomial-theorem,problems-based-on-binomial-co-efficient-and-collection-of-binomial-co-efficient,0.9807
Mathematics,limits-continuity-and-differentiability,limits-of-trigonometric-functions,0.979
Mathematics,3d-geometry,plane-in-space,0.9786
Mathematics,sequences-and-series,arithmetic-progression,0.9777
Mathematics,differential-equations,solution-of-differential-equations-by-method-of-separation-variables-and-homogeneous,0.9773
Mathematics,application-of-derivatives,tangent-and-normal,0.9772
Mathematics,binomial-theorem,general-term,0.9763
Mathematics,inverse-trigonometric-functions,properties-of-inverse-trigonometric-functions,0.9762
Mathematics,straight-lines-and-pair-of-straight-lines,centers-of-triangle,0.9744
Mathematics,probability,classical-defininition-of-probability,0.9713
Mathematics,matrices-and-determinants,expansion-of-determinant,0.9711
Mathematics,limits-continuity-and-differentiability,continuity,0.9671
Mathematics,quadratic-equation-and-inequalities,nature-of-roots,0.9653
Mathematics,indefinite-integrals,integration-by-substitution,0.9646
Mathematics,application-of-derivatives,monotonicity,0.9646
Mathematics,functions,classification-of-functions,0.9641
Mathematics,circle,chord-with-a-given-middle-point,0.9637
